Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.39864191211783E-16,9.8187038657449E-16,0.05,0,0,0,3332,13608.4433333333,-2.25478894814538E-12,-3.24125911295898E-14,54425.4433333333,8.32909276217345E-13,68028.3333333333,0,0,0,0,0,0,package://library_world_assm/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://library_world_assm/meshes/base_link.STL,,floor-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1l,-2.22044604925031E-15,1.05,-1.33226762955019E-15,0,0,0,644.639999999999,307.598,-1.67498945213615E-13,-4.25983708894243E-14,302.5456,9.15393856703319E-14,534.038000000001,0,0,0,0,0,0,package://library_world_assm/meshes/1l.STL,1,1,1,1,0,0,0,0,0,0,package://library_world_assm/meshes/1l.STL,,shelf-1,Origin_1j,,1j,fixed,-2.5,2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
2l,-2.22044604925031E-15,1.05,-1.33226762955019E-15,0,0,0,644.639999999999,307.598000000001,-1.91244203150842E-13,-6.33469817748399E-14,302.545600000001,9.91611306955242E-14,534.038000000001,0,0,0,0,0,0,package://library_world_assm/meshes/2l.STL,1,1,1,1,0,0,0,0,0,0,package://library_world_assm/meshes/2l.STL,,shelf-2,Origin_2j,,2j,fixed,-2.5,-2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
3l,-2.66453525910038E-15,1.05,-1.02767174540806E-15,0,0,0,644.64,307.598,-1.76717319083766E-13,-5.39706280335702E-14,302.5456,6.13018028483216E-14,534.038,0,0,0,0,0,0,package://library_world_assm/meshes/3l.STL,1,1,1,1,0,0,0,0,0,0,package://library_world_assm/meshes/3l.STL,,shelf-3,Origin_3j,Axis_3j,3j,fixed,0,2,2.2,-1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
4l,-2.22044604925031E-15,1.05,-1.48754364511076E-15,0,0,0,644.64,307.598000000001,-1.93546257909461E-13,-8.45961949153143E-14,302.545600000001,6.28500435506309E-14,534.038000000001,0,0,0,0,0,0,package://library_world_assm/meshes/4l.STL,1,1,1,1,0,0,0,0,0,0,package://library_world_assm/meshes/4l.STL,,shelf-4,Origin_4j,,4j,fixed,0,-2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
5l,-2.22044604925031E-15,1.05,-1.33226762955019E-15,0,0,0,644.639999999999,307.598,-1.67532059654979E-13,-4.20913283700142E-14,302.5456,8.70148137571691E-14,534.038000000001,0,0,0,0,0,0,package://library_world_assm/meshes/5l.STL,1,1,1,1,0,0,0,0,0,0,package://library_world_assm/meshes/5l.STL,,shelf-5,Origin_5j,,5j,fixed,2.5,2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
6l,-2.66453525910038E-15,1.05,-1.77635683940025E-15,0,0,0,644.64,307.598000000001,-1.90806954398669E-13,-6.32301673710813E-14,302.545600000001,9.20097331658098E-14,534.038000000001,0,0,0,0,0,0,package://library_world_assm/meshes/6l.STL,1,1,1,1,0,0,0,0,0,0,package://library_world_assm/meshes/6l.STL,,shelf-6,Origin_6j,,6j,fixed,2.5,-2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
7l,-2.22044604925031E-15,1.05,-8.88178419700125E-16,0,0,0,644.639999999999,307.598,-1.7016288530343E-13,-4.21379219844953E-14,302.5456,9.06504146920561E-14,534.038,0,0,0,0,0,0,package://library_world_assm/meshes/7l.STL,1,1,1,1,0,0,0,0,0,0,package://library_world_assm/meshes/7l.STL,,shelf-7,Origin_7j,,7j,fixed,5,2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
8l,-2.22044604925031E-15,1.05,-8.88178419700125E-16,0,0,0,644.639999999999,307.598,-1.94103337191476E-13,-6.98174509794473E-14,302.545600000001,9.43689570931383E-14,534.038000000001,0,0,0,0,0,0,package://library_world_assm/meshes/8l.STL,1,1,1,1,0,0,0,0,0,0,package://library_world_assm/meshes/8l.STL,,shelf-8,Origin_8j,Axis_8j,8j,fixed,5,-2,2.2,-1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
